 {'250820',  '611670'} , support:  54 
 {'1384160',  '348550'} , support:  32 
 {'632360',  '248820'} , support:  32 
 {'739630',  '1618540'} , support:  38 
 {'250820',  '1494460'} , support:  59 
 {'692890',  '548430'} , support:  33 
 {'293760',  '284160'} , support:  49 
 {'250820',  '689580'} , support:  79 
 {'1173510',  '1009850'} , support:  70 
 {'438100',  '1173510',  '1009850'} , support:  67 
 {'438100',  '1173510',  '1009850',  '250820'} , support:  67 
 {'250820',  '1173510',  '1009850'} , support:  70 
 {'438100',  '1173510'} , support:  81 
 {'438100',  '1173510',  '250820'} , support:  81 
 {'250820',  '1173510'} , support:  91 
 {'1840',  '440'} , support:  33 
 {'730',  '397900'} , support:  43 
 {'250820',  '823500'} , support:  103 
 {'223750',  '250820'} , support:  32 
 {'730',  '42700'} , support:  34 
 {'42960',  '236850'} , support:  44 
 {'42960',  '394360'} , support:  61 
 {'730',  '10190'} , support:  34 
 {'730',  '386180'} , support:  34 
 {'1329410',  '570'} , support:  52 
 {'228200',  '231430'} , support:  32 
 {'730',  '220'} , support:  34 
 {'1372280',  '1384160'} , support:  51 
 {'730',  '761890'} , support:  34 
 {'908520',  '1009850'} , support:  32 
 {'908520',  '1009850',  '250820'} , support:  32 
 {'908520',  '438100'} , support:  37 
 {'908520',  '250820',  '438100'} , support:  37 
 {'620980',  '908520'} , support:  40 
 {'620980',  '908520',  '250820'} , support:  40 
 {'908520',  '250820'} , support:  158 
 {'363970',  '730'} , support:  38 
 {'730',  '571740'} , support:  46 
 {'214950',  '325610'} , support:  40 
 {'394360',  '251060'} , support:  36 
 {'236390',  '251060'} , support:  45 
 {'730',  '635260'} , support:  41 
 {'244450',  '236390'} , support:  37 
 {'244450',  '394360'} , support:  40 
 {'730',  '1203220'} , support:  32 
 {'730',  '824270'} , support:  51 
 {'1172470',  '824270'} , support:  62 
 {'22330',  '489830'} , support:  62 
 {'739630',  '493520'} , support:  34 
 {'548430',  '493520'} , support:  35 
 {'200210',  '730'} , support:  34 
 {'322170',  '730'} , support:  82 
 {'1240440',  '1085660'} , support:  39 
 {'1240440',  '976730'} , support:  44 
 {'394690',  '440'} , support:  32 
 {'394690',  '548430'} , support:  33 
 {'739630',  '394690'} , support:  34 
 {'394690',  '4000'} , support:  35 
 {'394690',  '250820'} , support:  45 
 {'620980',  '546560'} , support:  45 
 {'620980',  '250820',  '546560'} , support:  45 
 {'250820',  '546560'} , support:  197 
 {'211420',  '374320'} , support:  41 
 {'227300',  '1190000'} , support:  35 
 {'12120',  '730'} , support:  48 
 {'730',  '1782210'} , support:  53 
 {'739630',  '880940'} , support:  42 
 {'730',  '880940'} , support:  61 
 {'310950',  '1384160'} , support:  43 
 {'250820',  '264710'} , support:  37 
 {'730',  '504370'} , support:  33 
 {'504370',  '570'} , support:  39 
 {'730',  '1238840'} , support:  35 
 {'444200',  '570'} , support:  39 
 {'444200',  '730'} , support:  67 
 {'730',  '221380'} , support:  42 
 {'34330',  '594570'} , support:  34 
 {'34330',  '394360'} , support:  36 
 {'250820',  '753640'} , support:  35 
 {'739630',  '700330'} , support:  34 
 {'4000',  '700330'} , support:  37 
 {'730',  '700330'} , support:  71 
 {'730',  '1080110'} , support:  48 
 {'311690',  '250900'} , support:  38 
 {'311690',  '730'} , support:  39 
 {'620980',  '450540'} , support:  33 
 {'620980',  '250820',  '450540'} , support:  33 
 {'548430',  '450540'} , support:  35 
 {'250820',  '548430',  '450540'} , support:  35 
 {'438100',  '450540'} , support:  45 
 {'438100',  '250820',  '450540'} , support:  45 
 {'555160',  '450540'} , support:  46 
 {'250820',  '555160',  '450540'} , support:  46 
 {'629730',  '450540'} , support:  71 
 {'629730',  '250820',  '450540'} , support:  71 
 {'250820',  '450540'} , support:  248 
 {'730',  '552520'} , support:  38 
 {'976310',  '570'} , support:  36 
 {'730',  '976310'} , support:  50 
 {'1158310',  '203770'} , support:  53 
 {'394360',  '203770'} , support:  54 
 {'236850',  '203770'} , support:  57 
 {'739630',  '1068820'} , support:  38 
 {'739630',  '250820',  '1068820'} , support:  38 
 {'620980',  '1068820'} , support:  45 
 {'620980',  '250820',  '1068820'} , support:  45 
 {'1068820',  '1009850'} , support:  151 
 {'438100',  '1068820',  '1009850'} , support:  132 
 {'438100',  '1068820',  '1009850',  '250820'} , support:  132 
 {'250820',  '1068820',  '1009850'} , support:  151 
 {'438100',  '1068820'} , support:  179 
 {'438100',  '1068820',  '250820'} , support:  179 
 {'250820',  '1068820'} , support:  255 
 {'730',  '805550'} , support:  39 
 {'805550',  '1134570'} , support:  41 
 {'805550',  '244210'} , support:  77 
 {'780310',  '548430'} , support:  36 
 {'690790',  '250820'} , support:  37 
 {'690790',  '244210'} , support:  54 
 {'730',  '690790'} , support:  54 
 {'250820',  '1118200'} , support:  50 
 {'730',  '1118200'} , support:  56 
 {'4000',  '1118200'} , support:  57 
 {'730',  '218230'} , support:  34 
 {'730',  '1313860'} , support:  79 
 {'581320',  '418460'} , support:  36 
 {'107410',  '418460'} , support:  39 
 {'236390',  '418460'} , support:  45 
 {'730',  '418460'} , support:  57 
 {'1267910',  '1063730'} , support:  33 
 {'730',  '513710'} , support:  32 
 {'1063730',  '513710'} , support:  34 
 {'594650',  '1600360'} , support:  37 
 {'1600360',  '1172470'} , support:  38 
 {'1063730',  '1600360'} , support:  39 
 {'730',  '1600360'} , support:  42 
 {'730',  '379430'} , support:  35 
 {'739630',  '621060'} , support:  32 
 {'294100',  '233860'} , support:  50 
 {'228380',  '252950'} , support:  37 
 {'730',  '228380'} , support:  52 
 {'1172470',  '1049590'} , support:  51 
 {'440900',  '1063730'} , support:  33 
 {'1366540',  '427520'} , support:  34 
 {'105600',  '211820'} , support:  45 
 {'739630',  '527230'} , support:  35 
 {'527230',  '548430'} , support:  40 
 {'214950',  '394360'} , support:  34 
 {'730',  '214950'} , support:  38 
 {'214950',  '261550'} , support:  46 
 {'214950',  '594570'} , support:  52 
 {'1063730',  '780290'} , support:  32 
 {'286160',  '780290'} , support:  32 
 {'780290',  '548430'} , support:  39 
 {'730',  '1263850'} , support:  38 
 {'1569040',  '1263850'} , support:  63 
 {'730',  '814380'} , support:  38 
 {'814380',  '374320'} , support:  57 
 {'466560',  '570'} , support:  32 
 {'466560',  '548430'} , support:  36 
 {'367520',  '250900'} , support:  36 
 {'730',  '1046930'} , support:  78 
 {'730',  '1046930',  '570'} , support:  52 
 {'1046930',  '570'} , support:  187 
 {'250820',  '304390'} , support:  33 
 {'1172470',  '304390'} , support:  35 
 {'730',  '304390'} , support:  40 
 {'739630',  '304390'} , support:  43 
 {'381210',  '304390'} , support:  49 
 {'221680',  '250820'} , support:  35 
 {'730',  '221680'} , support:  37 
 {'730',  '12210'} , support:  52 
 {'271590',  '12210'} , support:  57 
 {'730',  '1238860'} , support:  75 
 {'1063730',  '469600'} , support:  34 
 {'570',  '469600'} , support:  37 
 {'730',  '469600'} , support:  40 
 {'555160',  '431960'} , support:  37 
 {'250820',  '555160',  '431960'} , support:  37 
 {'555160',  '1009850'} , support:  48 
 {'438100',  '555160',  '1009850'} , support:  33 
 {'438100',  '555160',  '1009850',  '250820'} , support:  33 
 {'250820',  '555160',  '1009850'} , support:  48 
 {'730',  '555160'} , support:  50 
 {'730',  '555160',  '250820'} , support:  48 
 {'620980',  '555160'} , support:  55 
 {'620980',  '250820',  '555160'} , support:  55 
 {'739630',  '555160'} , support:  68 
 {'739630',  '250820',  '555160'} , support:  68 
 {'438100',  '555160'} , support:  72 
 {'438100',  '555160',  '250820'} , support:  72 
 {'629730',  '555160'} , support:  88 
 {'629730',  '250820',  '555160'} , support:  88 
 {'250820',  '555160'} , support:  343 
 {'252950',  '477160'} , support:  35 
 {'477160',  '548430'} , support:  43 
 {'730',  '477160'} , support:  50 
 {'739630',  '477160'} , support:  51 
 {'1250410',  '250820'} , support:  52 
 {'1124300',  '1158310'} , support:  32 
 {'1124300',  '281990'} , support:  35 
 {'1124300',  '1063730'} , support:  35 
 {'1124300',  '289070'} , support:  37 
 {'220200',  '250820'} , support:  41 
 {'739630',  '311210'} , support:  36 
 {'311210',  '1172470'} , support:  36 
 {'311210',  '431960'} , support:  41 
 {'311210',  '250820'} , support:  54 
 {'730',  '311210'} , support:  67 
 {'739630',  '613100'} , support:  52 
 {'48700',  '730'} , support:  56 
 {'48700',  '261550'} , support:  67 
 {'730',  '620'} , support:  70 
 {'1506830',  '252950'} , support:  52 
 {'730',  '1506830'} , support:  107 
 {'582660',  '1172470'} , support:  34 
 {'230410',  '582660'} , support:  34 
 {'1063730',  '582660'} , support:  39 
 {'730',  '582660'} , support:  44 
 {'730',  '518790'} , support:  50 
 {'219990',  '548430'} , support:  41 
 {'739630',  '714010'} , support:  32 
 {'714010',  '431960'} , support:  33 
 {'1063730',  '714010'} , support:  34 
 {'714010',  '1172470'} , support:  109 
 {'730',  '714010',  '1172470'} , support:  32 
 {'730',  '714010'} , support:  136 
 {'212680',  '250900'} , support:  33 
 {'730',  '212680'} , support:  34 
 {'212680',  '548430'} , support:  34 
 {'1063730',  '1623660'} , support:  33 
 {'1623660',  '570'} , support:  52 
 {'730',  '1623660'} , support:  74 
 {'730',  '1286830'} , support:  37 
 {'739630',  '335300'} , support:  32 
 {'335300',  '548430'} , support:  32 
 {'335300',  '570'} , support:  33 
 {'1172470',  '335300'} , support:  37 
 {'730',  '335300'} , support:  39 
 {'335300',  '570940'} , support:  63 
 {'335300',  '374320'} , support:  119 
 {'629760',  '1063730'} , support:  33 
 {'629760',  '594650'} , support:  33 
 {'629760',  '570'} , support:  36 
 {'629760',  '548430'} , support:  41 
 {'629760',  '739630'} , support:  43 
 {'629760',  '250820'} , support:  47 
 {'629760',  '730'} , support:  92 
 {'648800',  '548430'} , support:  36 
 {'648800',  '739630'} , support:  52 
 {'648800',  '730'} , support:  66 
 {'739630',  '570940'} , support:  33 
 {'250820',  '570940'} , support:  36 
 {'431960',  '570940'} , support:  38 
 {'730',  '570940'} , support:  47 
 {'374320',  '570940'} , support:  110 
 {'570',  '1238810'} , support:  32 
 {'431960',  '1238810'} , support:  36 
 {'1172470',  '1238810'} , support:  41 
 {'730',  '1238810'} , support:  96 
 {'244850',  '236390'} , support:  32 
 {'739630',  '244850'} , support:  35 
 {'730',  '244850'} , support:  38 
 {'244850',  '250820'} , support:  49 
 {'550',  '240'} , support:  39 
 {'4000',  '240'} , support:  54 
 {'730',  '4000',  '240'} , support:  33 
 {'240',  '440'} , support:  55 
 {'730',  '240'} , support:  195 
 {'1343400',  '431960'} , support:  35 
 {'1343400',  '1063730'} , support:  39 
 {'1343400',  '730'} , support:  48 
 {'1088850',  '1172470'} , support:  33 
 {'1088850',  '739630'} , support:  36 
 {'1088850',  '431960'} , support:  36 
 {'1088850',  '1085660'} , support:  37 
 {'1088850',  '250820'} , support:  39 
 {'1088850',  '1063730'} , support:  45 
 {'629730',  '548430'} , support:  37 
 {'629730',  '250820',  '548430'} , support:  35 
 {'629730',  '730'} , support:  40 
 {'629730',  '730',  '250820'} , support:  35 
 {'629730',  '438100'} , support:  50 
 {'629730',  '438100',  '250820'} , support:  50 
 {'629730',  '431960'} , support:  54 
 {'629730',  '250820',  '431960'} , support:  52 
 {'629730',  '739630'} , support:  67 
 {'629730',  '739630',  '250820'} , support:  66 
 {'629730',  '620980'} , support:  72 
 {'629730',  '620980',  '250820'} , support:  71 
 {'629730',  '250820'} , support:  445 
 {'381210',  '242760'} , support:  44 
 {'739630',  '242760'} , support:  47 
 {'242760',  '250820'} , support:  56 
 {'730',  '242760'} , support:  106 
 {'431240',  '945360'} , support:  33 
 {'431240',  '548430'} , support:  34 
 {'431240',  '1172470'} , support:  34 
 {'250820',  '431240'} , support:  52 
 {'739630',  '431240'} , support:  65 
 {'431240',  '252950'} , support:  67 
 {'730',  '431240'} , support:  90 
 {'440',  '304930'} , support:  60 
 {'730',  '304930'} , support:  80 
 {'218620',  '304930'} , support:  222 
 {'1714040',  '252950'} , support:  32 
 {'1714040',  '1172470'} , support:  32 
 {'1714040',  '646570'} , support:  35 
 {'1714040',  '570'} , support:  43 
 {'730',  '1714040'} , support:  47 
 {'1714040',  '250900'} , support:  48 
 {'4000',  '365670'} , support:  33 
 {'365670',  '431960'} , support:  40 
 {'1172470',  '365670'} , support:  40 
 {'365670',  '570'} , support:  51 
 {'730',  '365670'} , support:  53 
 {'438100',  '365670'} , support:  62 
 {'438100',  '365670',  '250820'} , support:  51 
 {'250820',  '365670'} , support:  96 
 {'381210',  '1009850'} , support:  41 
 {'381210',  '438100',  '1009850'} , support:  37 
 {'381210',  '438100',  '1009850',  '250820'} , support:  37 
 {'381210',  '250820',  '1009850'} , support:  41 
 {'730',  '1009850'} , support:  42 
 {'730',  '1009850',  '438100'} , support:  39 
 {'250820',  '730',  '1009850',  '438100'} , support:  39 
 {'730',  '1009850',  '250820'} , support:  42 
 {'1009850',  '548430'} , support:  42 
 {'438100',  '1009850',  '548430'} , support:  36 
 {'438100',  '1009850',  '250820',  '548430'} , support:  36 
 {'250820',  '1009850',  '548430'} , support:  42 
 {'1172470',  '1009850'} , support:  50 
 {'438100',  '1172470',  '1009850'} , support:  41 
 {'438100',  '1172470',  '1009850',  '250820'} , support:  41 
 {'250820',  '1172470',  '1009850'} , support:  50 
 {'629520',  '1009850'} , support:  51 
 {'438100',  '629520',  '1009850'} , support:  48 
 {'438100',  '629520',  '1009850',  '250820'} , support:  48 
 {'250820',  '629520',  '1009850'} , support:  51 
 {'1009850',  '431960'} , support:  56 
 {'438100',  '1009850',  '431960'} , support:  40 
 {'438100',  '1009850',  '250820',  '431960'} , support:  40 
 {'250820',  '1009850',  '431960'} , support:  56 
 {'620980',  '1009850'} , support:  76 
 {'620980',  '438100',  '1009850'} , support:  52 
 {'620980',  '438100',  '1009850',  '250820'} , support:  52 
 {'620980',  '250820',  '1009850'} , support:  76 
 {'739630',  '1009850'} , support:  78 
 {'739630',  '438100',  '1009850'} , support:  62 
 {'739630',  '438100',  '1009850',  '250820'} , support:  62 
 {'739630',  '250820',  '1009850'} , support:  78 
 {'438100',  '1009850'} , support:  405 
 {'438100',  '1009850',  '250820'} , support:  405 
 {'250820',  '1009850'} , support:  488 
 {'1569040',  '1063730'} , support:  33 
 {'1569040',  '730'} , support:  55 
 {'1063730',  '359320'} , support:  35 
 {'730',  '359320'} , support:  36 
 {'359320',  '548430'} , support:  38 
 {'250820',  '359320'} , support:  77 
 {'739630',  '677620'} , support:  33 
 {'1063730',  '677620'} , support:  36 
 {'250820',  '677620'} , support:  37 
 {'252950',  '677620'} , support:  50 
 {'1172470',  '677620'} , support:  54 
 {'730',  '677620'} , support:  67 
 {'250820',  '389730'} , support:  34 
 {'431960',  '389730'} , support:  43 
 {'1384160',  '389730'} , support:  45 
 {'1172470',  '389730'} , support:  50 
 {'570',  '389730'} , support:  57 
 {'730',  '389730'} , support:  81 
 {'881100',  '294100'} , support:  32 
 {'881100',  '431960'} , support:  34 
 {'881100',  '105600'} , support:  36 
 {'632360',  '881100'} , support:  41 
 {'881100',  '730'} , support:  45 
 {'881100',  '250900'} , support:  48 
 {'881100',  '250820'} , support:  49 
 {'881100',  '548430'} , support:  53 
 {'1134570',  '1551360'} , support:  35 
 {'1134570',  '227300'} , support:  39 
 {'1063730',  '1134570'} , support:  41 
 {'1134570',  '244210'} , support:  49 
 {'1134570',  '252950'} , support:  68 
 {'730',  '1134570'} , support:  102 
 {'250820',  '1293830'} , support:  33 
 {'271590',  '1293830'} , support:  39 
 {'227300',  '1293830'} , support:  42 
 {'431960',  '1293830'} , support:  44 
 {'1172470',  '1293830'} , support:  44 
 {'570',  '1293830'} , support:  64 
 {'1551360',  '1293830'} , support:  78 
 {'730',  '1293830'} , support:  114 
 {'1172470',  '1086940'} , support:  32 
 {'1086940',  '594570'} , support:  32 
 {'1086940',  '548430'} , support:  35 
 {'250820',  '1086940'} , support:  39 
 {'1086940',  '570'} , support:  40 
 {'739630',  '1086940'} , support:  51 
 {'435150',  '1086940'} , support:  54 
 {'1063730',  '1086940'} , support:  57 
 {'570',  '10'} , support:  110 
 {'730',  '570',  '10'} , support:  61 
 {'730',  '10'} , support:  251 
 {'4000',  '284160'} , support:  32 
 {'284160',  '1551360'} , support:  33 
 {'236390',  '284160'} , support:  36 
 {'284160',  '431960'} , support:  36 
 {'252950',  '284160'} , support:  38 
 {'739630',  '284160'} , support:  40 
 {'284160',  '227300'} , support:  51 
 {'284160',  '244210'} , support:  58 
 {'250820',  '284160'} , support:  60 
 {'271590',  '284160'} , support:  75 
 {'730',  '284160'} , support:  84 
 {'239140',  '1172470'} , support:  32 
 {'239140',  '489830'} , support:  32 
 {'230410',  '239140'} , support:  34 
 {'239140',  '250820'} , support:  34 
 {'239140',  '548430'} , support:  37 
 {'239140',  '570'} , support:  41 
 {'271590',  '239140'} , support:  42 
 {'381210',  '239140'} , support:  42 
 {'739630',  '239140'} , support:  46 
 {'730',  '239140'} , support:  109 
 {'632360',  '1384160'} , support:  34 
 {'739630',  '1384160'} , support:  35 
 {'39210',  '1384160'} , support:  40 
 {'1384160',  '431960'} , support:  42 
 {'1384160',  '570'} , support:  45 
 {'730',  '1384160'} , support:  46 
 {'1384160',  '548430'} , support:  48 
 {'1384160',  '1172470'} , support:  76 
 {'49520',  '252950'} , support:  33 
 {'49520',  '440'} , support:  33 
 {'49520',  '570'} , support:  34 
 {'49520',  '250820'} , support:  34 
 {'230410',  '49520'} , support:  37 
 {'49520',  '1085660'} , support:  40 
 {'49520',  '548430'} , support:  42 
 {'49520',  '431960'} , support:  43 
 {'739630',  '49520'} , support:  44 
 {'49520',  '1172470'} , support:  46 
 {'49520',  '397540'} , support:  46 
 {'730',  '49520'} , support:  75 
 {'252950',  '1217060'} , support:  33 
 {'1085660',  '1217060'} , support:  37 
 {'250900',  '1217060'} , support:  39 
 {'570',  '1217060'} , support:  40 
 {'960090',  '1217060'} , support:  49 
 {'730',  '1217060'} , support:  52 
 {'1063730',  '1217060'} , support:  53 
 {'1172470',  '1217060'} , support:  56 
 {'250820',  '1217060'} , support:  60 
 {'632360',  '1217060'} , support:  62 
 {'739630',  '1217060'} , support:  66 
 {'548430',  '1217060'} , support:  92 
 {'231430',  '107410'} , support:  34 
 {'686810',  '231430'} , support:  37 
 {'231430',  '570'} , support:  37 
 {'231430',  '548430'} , support:  41 
 {'231430',  '431960'} , support:  43 
 {'236390',  '231430'} , support:  64 
 {'231430',  '394360'} , support:  69 
 {'730',  '231430'} , support:  74 
 {'236390',  '787860'} , support:  35 
 {'271590',  '787860'} , support:  42 
 {'730',  '787860'} , support:  43 
 {'270880',  '787860'} , support:  52 
 {'227300',  '787860'} , support:  114 
 {'108600',  '602960'} , support:  35 
 {'108600',  '221100'} , support:  35 
 {'381210',  '108600'} , support:  36 
 {'108600',  '548430'} , support:  42 
 {'108600',  '570'} , support:  51 
 {'108600',  '730'} , support:  60 
 {'108600',  '250820'} , support:  61 
 {'108600',  '739630'} , support:  64 
 {'108600',  '294100'} , support:  64 
 {'444090',  '570'} , support:  34 
 {'386360',  '444090'} , support:  40 
 {'230410',  '444090'} , support:  40 
 {'444090',  '548430'} , support:  41 
 {'739630',  '444090'} , support:  43 
 {'252950',  '444090'} , support:  44 
 {'381210',  '444090'} , support:  45 
 {'444090',  '440'} , support:  47 
 {'250820',  '444090'} , support:  48 
 {'431960',  '444090'} , support:  57 
 {'1172470',  '444090'} , support:  68 
 {'730',  '444090'} , support:  101 
 {'72850',  '548430'} , support:  33 
 {'250820',  '72850'} , support:  37 
 {'431960',  '72850'} , support:  41 
 {'377160',  '72850'} , support:  42 
 {'72850',  '570'} , support:  49 
 {'730',  '72850'} , support:  71 
 {'72850',  '489830'} , support:  73 
 {'22380',  '960090'} , support:  32 
 {'22380',  '4000'} , support:  33 
 {'22380',  '548430'} , support:  33 
 {'739630',  '22380'} , support:  35 
 {'22380',  '394360'} , support:  37 
 {'22380',  '976730'} , support:  41 
 {'22380',  '440'} , support:  49 
 {'250820',  '22380'} , support:  52 
 {'730',  '22380'} , support:  57 
 {'22380',  '489830'} , support:  70 
 {'377160',  '22380'} , support:  98 
 {'4000',  '1281930'} , support:  35 
 {'1281930',  '1085660'} , support:  37 
 {'1281930',  '570'} , support:  40 
 {'1172470',  '1281930'} , support:  42 
 {'230410',  '1281930'} , support:  42 
 {'739630',  '1281930'} , support:  43 
 {'960090',  '1281930'} , support:  46 
 {'1281930',  '250900'} , support:  50 
 {'1281930',  '440'} , support:  50 
 {'431960',  '1281930'} , support:  50 
 {'632360',  '1281930'} , support:  53 
 {'250820',  '1281930'} , support:  55 
 {'1281930',  '548430'} , support:  62 
 {'730',  '1281930'} , support:  67 
 {'105600',  '1281930'} , support:  211 
 {'397540',  '1085660'} , support:  35 
 {'739630',  '397540'} , support:  35 
 {'381210',  '397540'} , support:  36 
 {'632360',  '397540'} , support:  37 
 {'397540',  '489830'} , support:  37 
 {'250820',  '397540'} , support:  45 
 {'397540',  '570'} , support:  46 
 {'431960',  '397540'} , support:  46 
 {'1172470',  '397540'} , support:  55 
 {'730',  '397540'} , support:  59 
 {'397540',  '548430'} , support:  66 
 {'1151340',  '431960'} , support:  35 
 {'1151340',  '271590'} , support:  36 
 {'1151340',  '570'} , support:  39 
 {'1151340',  '1063730'} , support:  39 
 {'1151340',  '1172470'} , support:  40 
 {'230410',  '1151340'} , support:  41 
 {'1151340',  '739630'} , support:  44 
 {'1151340',  '1085660'} , support:  44 
 {'1151340',  '730'} , support:  45 
 {'1151340',  '489830'} , support:  48 
 {'1151340',  '250820'} , support:  50 
 {'1151340',  '548430'} , support:  54 
 {'377160',  '1151340'} , support:  60 
 {'1517290',  '570'} , support:  34 
 {'1517290',  '924970'} , support:  35 
 {'739630',  '1517290'} , support:  38 
 {'1517290',  '548430'} , support:  40 
 {'1517290',  '1085660'} , support:  43 
 {'1551360',  '1517290'} , support:  45 
 {'252950',  '1517290'} , support:  45 
 {'250820',  '1517290'} , support:  53 
 {'1517290',  '431960'} , support:  78 
 {'1172470',  '1517290'} , support:  80 
 {'1063730',  '1517290'} , support:  89 
 {'730',  '1517290'} , support:  92 
 {'431960',  '244210'} , support:  32 
 {'1551360',  '244210'} , support:  32 
 {'271590',  '244210'} , support:  41 
 {'252950',  '244210'} , support:  52 
 {'227300',  '244210'} , support:  76 
 {'250820',  '244210'} , support:  97 
 {'730',  '244210'} , support:  133 
 {'782330',  '1085660'} , support:  32 
 {'381210',  '782330'} , support:  35 
 {'782330',  '489830'} , support:  36 
 {'782330',  '440'} , support:  36 
 {'782330',  '570'} , support:  37 
 {'739630',  '782330'} , support:  51 
 {'782330',  '431960'} , support:  51 
 {'782330',  '1172470'} , support:  55 
 {'782330',  '548430'} , support:  55 
 {'782330',  '250820'} , support:  68 
 {'730',  '782330'} , support:  69 
