Multiplayer,2169
Soccer,31
Competitive,221
Sports,349
Racing,297
Team-Based,201
Online Co-Op,631
Football,43
Fast-Paced,215
Co-op,1203
Action,2924
Funny,921
Great Soundtrack,1287
Local Multiplayer,365
Split Screen,97
Local Co-Op,339
Singleplayer,3711
4 Player Local,126
Casual,1462
Indie,105
FPS,650
Classic,539
Story Rich,1203
Sci-fi,786
First-Person,982
Epic,45
Shooter,886
Lore-Rich,66
Aliens,126
Beautiful,113
Space,320
Atmospheric,1410
Adventure,2479
Horror,587
Online Co-Op,47
Free to Play,714
Action RPG,381
Hack and Slash,331
RPG,1664
Massively Multiplayer,437
Loot,127
Dungeon Crawler,235
Character Customization,464
Inventory Management,66
MMORPG,172
Fantasy,943
Isometric,284
PvP,510
Point & Click,14
Open World,1240
Tactical,520
War,366
Futuristic,169
Strategy,1929
RPG,55
e-sports,85
Military,255
Difficult,807
Trading,65
Realistic,436
Moddable,27
Steampunk,82
Dystopian ,89
Underwater,35
Immersive,25
Dark,272
Political,53
Alternate History,6
Battle Royale,50
Hero Shooter,24
Survival,691
Cyberpunk,145
Cinematic,90
Science,9
Looter Shooter,25
Third-Person Shooter,233
Ninja,53
Parkour,110
Third Person,752
PvE,185
FPS,61
Mature,220
Utilities,144
Software,85
Anime,720
Design & Illustration,97
Animation & Modeling,65
Memes,218
Indie,2604
Cute,562
Early Access,810
Music,102
NSFW,44
Sandbox,822
Photo Editing,19
Game Development,49
Horror,59
Dungeons & Dragons,23
Choices Matter,369
Turn-Based,526
Party-Based RPG,115
CRPG,93
Co-op Campaign,52
Romance,143
Class-Based,56
Dark Fantasy,198
Narration,66
Stealth,254
Combat,134
Crafting,371
Dragons,9
VR,238
Simulation,1654
Psychological Horror,325
Hentai,75
Sexual Content,324
Nudity,350
LGBTQ+,77
Family Friendly,533
Gore,555
Action,94
City Builder,240
Resource Management,288
Post-apocalyptic,237
Colony Sim,109
Building,516
Base-Building,319
Management,522
Economy,258
RTS,352
Real-Time with Pause,106
Great Soundtrack,142
Open World Survival Craft,120
Exploration,649
Procedural Generation,253
Space Sim,72
2D,1275
Outbreak Sim,5
Zombies,261
Replay Value,352
Addictive,99
Survival,48
Supernatural,53
Investigation,50
Mystery,214
Detective,105
Demons,68
Thriller,46
3D,441
Lovecraftian,6
Hunting,41
Walking Simulator,110
Gore,32
Tabletop,113
Board Game,160
Card Game,201
Trading Card Game,51
Physics,307
Wargame,115
Moddable,296
1990's,141
Old School,158
Score Attack,58
1980s,46
Assassin,52
Violent,30
MOBA,44
Tower Defense,145
Simulation,59
Noir,37
Surreal,109
Visual Novel,267
Point & Click,229
Sexual Content,57
Arcade,438
Retro,439
Driving,223
Colorful,484
Multiplayer,166
Historical,341
Medieval,246
Real-Time,101
Remake,128
America,48
Pixel Graphics,589
Platformer,438
Side Scroller,220
Comedy,551
Epic,10
Violent,472
Blood,70
Female Protagonist,63
Action RTS,12
Real-Time with Pause,8
Survival Horror,231
Tactical,25
World War II,153
Open World,78
Swordplay,54
Fighting,186
Turn-Based Strategy,389
Grand Strategy,150
Games Workshop,42
Real Time Tactics,125
Dinosaurs,37
Warhammer 40K,6
Rogue-like,363
Perma Death,130
Rogue-lite,315
Addictive,6
Automobile Sim,172
Third Person,42
Life Sim,84
Relaxing,344
Immersive Sim,119
Cartoony,195
LGBTQ+,8
Destruction,109
Flight,7
Flight,87
Tanks,53
Cold War,42
Naval,62
Physics,18
Parody ,31
Transportation,42
Trains,55
Resource Management,17
Level Editor,12
Voxel,57
Heist,27
Puzzle,663
Stealth,11
4X,94
Hex Grid,67
Diplomacy,40
Touch-Friendly,18
Sandbox,50
VR Only,98
JRPG,276
Remake,15
Female Protagonist,577
Dragons,52
Magic,203
Hack and Slash,22
Crime,99
Gun Customization,42
Funny,53
Robots,117
Cartoon,112
Crafting,18
Action Roguelike,184
Souls-like,14
Top-Down,286
Time Travel,39
Magic,20
Farming Sim,61
Agriculture,57
Atmospheric,102
Automation,65
City Builder,13
Education,138
Classic,44
Souls-like,69
Singleplayer,266
TrackIR,17
Cult Classic,109
Relaxing,19
Programming,46
Sailing,28
Tutorial,53
Adventure,133
Alternate History,86
Casual,107
Medical Sim,10
ATV,6
Snow,9
Nature,73
PvE,8
Audio Production,39
Free to Play,49
Dating Sim,131
Fishing,9
Metroidvania,124
2D Platformer,93
3D Vision,42
Linear,82
Action-Adventure,273
3D Platformer,115
Soundtrack,65
Level Editor,123
Shooter,21
TrackIR,1
Controller,404
Cinematic,12
Immersive Sim,8
Multiple Endings,206
Strategy,71
Mini Golf,6
Golf,9
Offroad,34
Benchmark,2
Roguevania,15
Procedural Generation,17
Dark Comedy,35
Capitalism,47
Difficult,65
Rhythm,5
Social Deduction,14
Psychological,54
Party Game,34
Minigames,16
Top-Down,27
Pirates,55
Naval Combat,45
Mature,21
Mechs,76
Time Manipulation,28
Action-Adventure,18
Mythology,60
Western,29
Bullet Time,36
Sequel,21
Third-Person Shooter,12
Idler,72
3D,29
Clicker,112
Science,57
God Game,57
Space,14
Touch-Friendly,60
Illuminati,4
Tactical RPG,137
Cartoony,10
Modern,51
Hardware,3
MMORPG,12
Software Training,31
Dark Humor,123
Vehicular Combat,42
LEGO,29
Rhythm,70
Music-Based Procedural Generation,22
Software,39
Nudity,50
Beat 'em up,134
Based On A Novel,22
Dark Fantasy,12
Bullet Hell,113
Top-Down Shooter,85
Twin Stick Shooter,55
Local Multiplayer,46
Hentai,19
Mod,48
Unforgiving,14
Archery,8
Horses,20
Video Production,61
Web Publishing,33
Character Customization,28
War,14
Time Management,67
Strategy RPG,119
Minimalist,120
Text-Based,53
Auto Battler,28
Turn-Based Combat,281
Clicker,5
Co-op,74
Early Access,80
Sci-fi,41
Spaceships,8
Immersive,5
Replay Value,36
Turn-Based Tactics,223
Controller,54
Motorbike,24
2D Fighter,79
2.5D,111
Warhammer 40K,29
Story Rich,54
Card Battler,97
Deckbuilding,106
Experimental,47
FMV,32
Bullet Hell,6
Politics,51
Political Sim,48
Stylized,182
Political,5
Military,13
Fishing,48
Dungeon Crawler,6
Heist,11
Psychological Horror,44
Arena Shooter,65
Hacking,41
Typing,15
Logic,66
Space Sim,8
Audio Production,16
Nonlinear,44
3D Fighter,26
PvP,23
Party,25
Animation & Modeling,9
Family Friendly,55
Exploration,24
Blood,7
First-Person,32
Zombies,15
Lovecraftian,59
Gothic,48
Kickstarter,10
Pirates,4
Asynchronous Multiplayer,27
Historical,28
Voxel,4
Comedy,29
Mouse only,55
World War I,32
Runner,21
Puzzle-Platformer,115
Martial Arts,1
Conversation,45
Dynamic Narration,20
Character Action Game,43
Spectacle fighter,35
Gothic,4
Beautiful,18
Destruction,7
Dating Sim,18
Rome,25
Education,17
Cute,49
Submarine,15
Naval,7
Precision Platformer,45
6DOF,15
Superhero,49
Comic Book,69
Puzzle,49
Romance,14
Roguelike Deckbuilder,41
Mining,2
Split Screen,10
Mythology,2
Otome,17
CRPG,10
Sniper,23
RTS,22
Combat Racing,31
Hand-drawn,142
Turn-Based Combat,14
Massively Multiplayer,16
Racing,5
GameMaker,29
Isometric,19
Text-Based,7
Artificial Intelligence,5
Choose Your Own Adventure,110
Emotional,73
Drama,84
Narrative,16
Supernatural,4
Choices Matter,22
Vikings,15
Colorful,24
2D,81
Collectathon,44
Arena Shooter,4
Action RPG,21
Satire,4
Cooking,21
Combat,12
Kickstarter,62
Crowdfunded,23
Illuminati,36
Conspiracy,21
Transhumanism,13
America,5
Memes,28
Vampire,29
Interactive Fiction,79
Crowdfunded,8
Arcade,24
Philosophical,24
Aliens,14
Creature Collector,25
Episodic,38
Foreign,8
Quick-Time Events,3
Score Attack,4
Quick-Time Events,31
Chess,17
Artificial Intelligence,37
Tabletop,6
Time Attack,18
Motocross,9
Automobile Sim,2
Social Deduction,2
4X,9
Futuristic,12
Mod,4
Silent Protagonist,19
Masterpiece,12
Party-Based RPG,5
Traditional Roguelike,27
Multiple Endings,17
Cult Classic,13
Fantasy,55
Shoot 'Em Up,98
1990's,15
Anime,74
Thriller,1
Building,23
Villain Protagonist,41
Pixel Graphics,31
Psychedelic,48
RPGMaker,50
Ambient,7
360 Video,3
4 Player Local,13
JRPG,7
Side Scroller,17
VR,32
Gaming,6
Vampire,3
Metroidvania,6
Cats,35
Team-Based,9
Beat 'em up,14
Dark Humor,6
360 Video,10
Short,91
Boxing,1
Match 3,31
Hand-drawn,12
Swordplay,5
Local Co-Op,28
Mining,38
Minimalist,5
Word Game,14
Trivia,13
Pool,8
Competitive,13
2.5D,12
Colony Sim,3
Mystery Dungeon,18
Grid-Based Movement,37
Bullet Time,1
Retro,34
Abstract,41
Class-Based,4
Electronic Music,4
2D Platformer,4
Martial Arts,40
Fighting,7
Typing,2
Villain Protagonist,9
Werewolves,8
Bikes,16
Hockey,5
Nostalgia,28
Dog,28
Benchmark,9
Submarine,1
MOBA,4
God Game,1
Spaceships,2
Loot,16
Robots,7
Walking Simulator,16
Satire,24
Pinball,9
Sports,9
Dystopian ,4
Sailing,4
Video Production,12
Farming,12
Driving,3
Platformer,16
Soundtrack,12
Hidden Object,47
Post-apocalyptic,12
Choose Your Own Adventure,8
Solitaire,24
Trading Card Game,3
Medieval,12
Co-op Campaign,8
Lore-Rich,4
Gambling,18
Party,5
Hunting,3
Movie,15
Economy,9
Minigames,1
Open World Survival Craft,2
Shoot 'Em Up,4
3D Vision,13
Rock Music,4
Politics,2
Base-Building,13
Real Time Tactics,4
Realistic,15
Dark,25
Vehicular Combat,5
Asymmetric VR,2
Conversation,3
Investigation,2
Steampunk,4
Fast-Paced,9
Sequel,5
Turn-Based Strategy,13
Superhero,1
Turn-Based,21
Reboot,6
Based On A Novel,3
Faith,18
Old School,20
Cycling,9
BMX,2
Management,31
Skateboarding,5
Skating,7
Survival Horror,8
Mars,22
Wrestling,12
Music,6
Visual Novel,16
1980s,6
Baseball,7
Gun Customization,2
Snowboarding,5
Basketball,16
Mystery,6
Cartoon,13
On-Rails Shooter,5
Boxing,6
Capitalism,2
Action Roguelike,5
Cyberpunk,7
Spectacle fighter,2
Tactical RPG,6
Sokoban,5
Automation,7
Grand Strategy,9
Perma Death,5
e-sports,2
Looter Shooter,1
Underground,11
6DOF,5
Horses,4
Twin Stick Shooter,4
Skiing,4
Jet,11
Medical Sim,2
Asynchronous Multiplayer,6
Cats,4
LEGO,2
Unforgiving,3
Experience,8
Games Workshop,3
Web Publishing,7
Game Development,7
Intentionally Awkward Controls,7
Well-Written,4
Agriculture,8
Detective,3
Rogue-lite,15
World War II,11
Noir,3
Nature,3
Mouse only,5
Roguelike Deckbuilder,4
Experimental,12
Ninja,4
Turn-Based Tactics,11
Mars,1
Match 3,4
Cooking,1
Rogue-like,24
Card Game,8
Linear,5
Voice Control,4
Escape Room,2
Short,15
Top-Down Shooter,4
Archery,2
Baseball,1
Interactive Fiction,5
Transportation,4
3D Platformer,3
Trading,6
Surreal,4
Psychedelic,1
Hidden Object,11
Documentary,1
Card Battler,2
Creature Collector,1
Design & Illustration,8
Grid-Based Movement,5
Abstract,5
Inventory Management,12
Narration,1
Star Wars,1
GameMaker,6
Diplomacy,3
Puzzle-Platformer,2
Stylized,13
Escape Room,4
Life Sim,6
3D Fighter,2
Conspiracy,1
Lemmings,1
Utilities,14
Pinball,3
Idler,19
Reboot,1
Board Game,16
Time Attack,2
FMV,4
Real-Time,3
Western,1
Silent Protagonist,2
Lemmings,2
Narrative,3
Deckbuilding,2
Chess,2
Parody ,3
Time Manipulation,2
Programming,3
Lara Croft,1
Wargame,3
Boss Rush,2
Emotional,2
Comic Book,2
Word Game,3
Movie,2
Crime,4
Vikings,2
Time Management,7
Nostalgia,2
Dynamic Narration,1
Underground,1
Cold War,4
Runner,3
Electronic,2
Dog,4
Tutorial,6
Foreign,2
Offroad,2
Tennis,6
Naval Combat,1
Tower Defense,8
Nonlinear,3
Software Training,2
Farming,4
Spelling,1
Farming Sim,2
Battle Royale,1
Dinosaurs,2
Motorbike,2
Gambling,1
Mechs,2
Drama,6
Character Action Game,3
World War I,4
Mystery Dungeon,2
Combat Racing,2
RPGMaker,4
Football,2
Dark Comedy,3
Photo Editing,5
Hex Grid,4
Masterpiece,1
Hacking,3
Psychological,3
Parkour,2
Ambient,1
NSFW,7
Trains,2
Documentary,2
Golf,1
Soccer,2
Episodic,1
Philosophical,1
Faith,3
Party Game,2
Sniper,2
Experience,1
Bikes,1
Boss Rush,1
Auto Battler,1
Snow,1
Political Sim,1
Collectathon,2
Logic,4
Strategy RPG,4
Bowling,2
BMX,1
Tanks,3
Hero Shooter,1
Hockey,1
Demons,1
Gaming,1
Precision Platformer,1
Trivia,1
Roguevania,1
